"link","State","pop2016","pop2010","GrowthRate"
"{""type"":""a"",""key"":null,""ref"":null,""props"":{""href"":""/us-counties/oh/cuyahoga-county-population/"",""children"":""Cuyahoga County""},""_owner"":null}","Ohio",1248514,1278200,-0.023224847441714935
"{""type"":""a"",""key"":null,""ref"":null,""props"":{""href"":""/us-counties/tx/travis-county-population/"",""children"":""Travis County""},""_owner"":null}","Texas",1226698,1030522,0.1903656593454579
"{""type"":""a"",""key"":null,""ref"":null,""props"":{""href"":""/us-counties/pa/allegheny-county-population/"",""children"":""Allegheny County""},""_owner"":null}","Pennsylvania",1223048,1223897,-0.0006936858248692834
"{""type"":""a"",""key"":null,""ref"":null,""props"":{""href"":""/us-counties/va/fairfax-county-population/"",""children"":""Fairfax County""},""_owner"":null}","Virginia",1148433,1086734,0.05677470291718123
"{""type"":""a"",""key"":null,""ref"":null,""props"":{""href"":""/us-counties/ca/contra-costa-county-population/"",""children"":""Contra Costa County""},""_owner"":null}","California",1147439,1052799,0.08989370240663219
"{""type"":""a"",""key"":null,""ref"":null,""props"":{""href"":""/us-counties/ut/salt-lake-county-population/"",""children"":""Salt Lake County""},""_owner"":null}","Utah",1135649,1032959,0.09941343267254554
"{""type"":""a"",""key"":null,""ref"":null,""props"":{""href"":""/us-counties/nc/mecklenburg-county-population/"",""children"":""Mecklenburg County""},""_owner"":null}","North Carolina",1076837,923202,0.166415367384386
"{""type"":""a"",""key"":null,""ref"":null,""props"":{""href"":""/us-counties/nc/wake-county-population/"",""children"":""Wake County""},""_owner"":null}","North Carolina",1072203,906884,0.18229343554412702
"{""type"":""a"",""key"":null,""ref"":null,""props"":{""href"":""/us-counties/md/montgomery-county-population/"",""children"":""Montgomery County""},""_owner"":null}","Maryland",1058810,976140,0.08469072059335758
"{""type"":""a"",""key"":null,""ref"":null,""props"":{""href"":""/us-counties/ga/fulton-county-population/"",""children"":""Fulton County""},""_owner"":null}","Georgia",1041423,925797,0.12489347016678609
"{""type"":""a"",""key"":null,""ref"":null,""props"":{""href"":""/us-counties/az/pima-county-population/"",""children"":""Pima County""},""_owner"":null}","Arizona",1022769,981540,0.042004401247019985
